"id","name","updated_at","created_at","lookup_name","aliases","logo_url","ticker_symbol","website_url","pixel_placed_at","series_id"
"00a6f7c0-3193-11ee-962a-1318fbbd188c","Mother Undercover","2023-08-03 00:16:33.60391+00","2023-08-03 00:16:33.60391+00","motherundercover",NULL,NULL,NULL,NULL,NULL,NULL
"40b9ea20-3198-11ee-896f-cbb261c1ebd5","MCLittleLeague.org","2023-08-03 00:54:08.584432+00","2023-08-03 00:54:08.584432+00","mclittleleagueorg",NULL,NULL,NULL,NULL,NULL,NULL
"8d3707e0-2bab-11ee-ae28-db6c1c6ae859","Farm Fresh","2023-07-26 11:57:10.373421+00","2023-07-26 11:57:10.373421+00","farmfresh",NULL,NULL,NULL,NULL,NULL,NULL
"91b34130-2bab-11ee-ae28-db6c1c6ae859","Pro Wrestling Crate","2023-07-26 11:57:17.893313+00","2023-07-26 11:57:17.893313+00","prowrestlingcrate",NULL,NULL,NULL,NULL,NULL,NULL
"cf003430-4627-11ee-9ffc-7f6575919cf3","Georgia Tech Scheller College of Business","2023-08-29 04:52:08.578449+00","2023-08-29 04:52:08.578449+00","georgiatechschellercollegeofbusiness",NULL,NULL,NULL,NULL,NULL,NULL
"e50d7950-4644-11ee-a472-a714a6bbeaf0","POPPY BARLEY","2023-08-29 08:20:20.973199+00","2023-08-29 08:20:20.973199+00","poppybarley",NULL,NULL,NULL,NULL,NULL,NULL
"821dbed0-2e21-11ee-8dfd-f53fc39bdf68","Mira","2023-07-29 15:06:34.688324+00","2023-07-29 15:06:34.688324+00","mira",NULL,NULL,NULL,NULL,NULL,NULL
"5adcba60-2e3a-11ee-85fc-1beb5a0edf9c","Regal Unlimited","2023-07-29 18:04:26.25059+00","2023-07-29 18:04:26.25059+00","regalunlimited",NULL,NULL,NULL,NULL,NULL,NULL
"cbb75170-3144-11ee-af1d-e18aafe18146","FBI TRUE","2023-08-02 14:56:44.044874+00","2023-08-02 14:56:44.044874+00","fbitrue",NULL,NULL,NULL,NULL,NULL,NULL
"c3ddd410-2bf9-11ee-ae40-376959b2ecfa","Victor Pet Food","2023-07-26 21:17:02.802921+00","2023-07-26 21:17:02.802921+00","victorpetfood",NULL,NULL,NULL,NULL,NULL,NULL
"c366ac00-314e-11ee-925b-a353b77f98ba","Apollo Heating & Air Conditioning","2023-08-02 16:08:05.064435+00","2023-08-02 16:08:05.064435+00","apolloheatingairconditioning",NULL,NULL,NULL,NULL,NULL,NULL
"f4030750-31a8-11ee-8db3-e34450a34630","Bass Pro Shops & Cabela's ","2023-08-03 02:53:41.326135+00","2023-08-03 02:53:41.326135+00","bassproshopscabelas",NULL,NULL,NULL,NULL,NULL,NULL
"178327d0-31bf-11ee-8c81-a7657930717c","Building Cyber Resilience ","2023-08-03 05:32:09.822955+00","2023-08-03 05:32:09.822955+00","buildingcyberresilience",NULL,NULL,NULL,NULL,NULL,NULL
"e5b3b980-4646-11ee-9607-b5b2e1866fb9","The Greg McKeown Podcast","2023-08-29 08:34:41.049208+00","2023-08-29 08:34:41.049208+00","thegregmckeownpodcast",NULL,NULL,NULL,NULL,NULL,NULL
"1ef067e0-464a-11ee-9607-b5b2e1866fb9","seltzer","2023-08-29 08:57:45.572559+00","2023-08-29 08:57:45.572559+00","seltzer",NULL,NULL,NULL,NULL,NULL,NULL
"a90aba10-31dd-11ee-bd96-43a8f1dfe4c7","Caltex","2023-08-03 09:10:58.867454+00","2023-08-03 09:10:58.867454+00","caltex",NULL,NULL,NULL,NULL,NULL,NULL
"c07adf30-2ad6-11ee-9847-77f6240e4a9c","PHRca ","2023-07-25 10:33:53.578527+00","2023-07-25 10:33:53.578527+00","phrca",NULL,NULL,NULL,NULL,NULL,NULL
"75ac77c0-464c-11ee-a512-75d89553a5bc","Adventure Park at Sandy Spring","2023-08-29 09:14:30.081541+00","2023-08-29 09:14:30.081541+00","adventureparkatsandyspring",NULL,NULL,NULL,NULL,NULL,NULL
"865668a0-464d-11ee-8f2a-e77725e600b0","Ultimate Club Football Manager","2023-08-29 09:22:07.537067+00","2023-08-29 09:22:07.537067+00","ultimateclubfootballmanager",NULL,NULL,NULL,NULL,NULL,NULL
"dab2f2c0-4651-11ee-a7c6-e5b70c269722","Miami-Dade County","2023-08-29 09:53:07.057688+00","2023-08-29 09:53:07.057688+00","miamidadecounty",NULL,NULL,NULL,NULL,NULL,NULL
"041ab9a0-2e91-11ee-a2a5-81c85e6f2cbc","Blue Buffalo","2023-07-30 04:24:46.935482+00","2023-07-30 04:24:46.935482+00","bluebuffalo",NULL,NULL,NULL,NULL,NULL,NULL
"1116958e-56e5-4f69-818e-6e7bda9bba58","In Search of Joy with Craig Ferguson","2023-08-09 15:41:37.30172+00","2023-08-09 15:41:37.30172+00","insearchofjoywithcraigferguson",NULL,NULL,NULL,NULL,NULL,NULL
"6cd9a0f0-3184-11ee-9f4d-ad58f228b41a","Terribly Famous: Adele | London Girl","2023-08-02 22:32:12.679472+00","2023-08-02 22:32:12.679472+00","terriblyfamousadelelondongirl",NULL,NULL,NULL,NULL,NULL,NULL
"790e6780-3200-11ee-901e-dbfa985e8143","Ultra Mobile","2023-08-03 13:20:10.775467+00","2023-08-03 13:20:10.775467+00","ultramobile",NULL,NULL,NULL,NULL,NULL,NULL
"33fdfdd0-4647-11ee-8efc-398a41720955","on.com","2023-08-29 08:36:52.4019+00","2023-08-29 08:36:52.4019+00","oncom",NULL,NULL,NULL,NULL,NULL,NULL
"02c77f60-2190-11ee-ac21-875200d18970","Central Park Puppies","2023-07-13 15:14:50.085457+00","2023-07-13 15:14:50.085457+00","centralparkpuppies",NULL,NULL,NULL,NULL,NULL,NULL
"3566d5f0-31a9-11ee-8db3-e34450a34630","Firstlight Farms","2023-08-03 02:55:31.032606+00","2023-08-03 02:55:31.032606+00","firstlightfarms",NULL,NULL,NULL,NULL,NULL,NULL
"d4693c29-8ea8-4eb2-9965-b239583e61cd","Monarch Money","2023-08-09 11:18:28.672771+00","2023-08-09 11:18:28.672788+00","monarchmoney",NULL,NULL,NULL,NULL,NULL,NULL
"bfa138e0-2192-11ee-bece-ff3945191f2b","Colorado Pet","2023-07-13 15:34:25.910194+00","2023-07-13 15:34:25.910194+00","coloradopet",NULL,NULL,NULL,NULL,NULL,NULL
"ef3b06af-8413-4845-a1f0-8287390a35dc","Nux Activewear","2023-09-04 22:56:55.136098+00","2023-09-04 22:56:55.136116+00","nuxactivewear",NULL,NULL,NULL,NULL,NULL,NULL
"e357df40-2193-11ee-a7ba-b7a00a64ddb0","Under Tack","2023-07-13 15:42:35.324066+00","2023-07-13 15:42:35.324066+00","undertack",NULL,NULL,NULL,NULL,NULL,NULL
"089b3c10-4242-11ee-8709-472b9e37b8fc","‎King Slime: The Prosecution of Young Thug and YSL","2023-08-24 05:49:47.470936+00","2023-08-24 05:49:47.470936+00","kingslimetheprosecutionofyoungthugandysl",NULL,NULL,NULL,NULL,NULL,NULL
"33a2da10-4258-11ee-a54b-5b58f1bcf424","‎Sports Explains the World","2023-08-24 08:28:28.604818+00","2023-08-24 08:28:28.604818+00","sportsexplainstheworld",NULL,NULL,NULL,NULL,NULL,NULL
"b0f69c90-4be5-11ee-84f9-d7d435a761a1","Brian Tome","2023-09-05 12:13:58.367655+00","2023-09-05 12:13:58.367655+00","briantome",NULL,NULL,NULL,NULL,NULL,NULL
"4138f240-3687-11ee-87a5-f5791455872a","I was a Teenage Fundamentalist. An Exvangelical podcast","2023-08-09 07:35:03.780369+00","2023-08-09 07:35:03.780369+00","iwasateenagefundamentalistanexvangelicalpodcast",NULL,NULL,NULL,NULL,NULL,NULL
"48dba46a-5204-498c-af6d-0b4cb1151b62","Wondery (Academy Feed Drop)","2023-08-09 11:18:32.481256+00","2023-08-09 11:18:32.481327+00","wonderyacademyfeeddrop",NULL,NULL,NULL,NULL,NULL,NULL
"b6c34132-98c0-4abb-8d17-f60ce3db28c9","NUX Acttivewear","2023-09-04 22:56:55.779203+00","2023-09-04 22:56:55.779223+00","nuxacttivewear",NULL,NULL,NULL,NULL,NULL,NULL
"9b50dc60-4b87-11ee-9ea3-0702f1e723e0","Starling Bank","2023-09-05 01:00:29.36388+00","2023-09-05 01:00:29.36388+00","starlingbank",NULL,NULL,NULL,NULL,NULL,NULL
